,input,answer,predict,judge
12,c1ccc(-c2noc(C(=O)N3C[C@H](OC)C[C@@H]3CN3CCCC3)c2)cc1OC,COc1cccc(-c2cc(C(=O)N3C[C@H](OC)C[C@@H]3CN3CCCC3)on2)c1,COc1cccc(-c2cc(C(=O)N3C[C@H](OC)C[C@@H]3CN3CCCC3)on2)c1,True
13,C1([C@@]2(C)NC(=O)N(c3cc(NC(=O)NCc4ccccn4)ccc3)C2=O)CC1,C[C@]1(C2CC2)NC(=O)N(c2cccc(NC(=O)NCc3ccccn3)c2)C1=O,C[C@]1(C2CC2)NC(=O)N(c2cccc(NC(=O)NCc3ccccn3)c2)C1=O,True
14,c1cc(-c2oc(CCC(=O)OCc3cc(F)ccc3Br)nn2)ccc1,O=C(CCc1nnc(-c2ccccc2)o1)OCc1cc(F)ccc1Br,O=C(CCc1nnc(-c2ccccc2)o1)OCc1cc(F)ccc1Br,True
15,FC(F)(F)c1ccc(Cn2nccc2NC(=O)N2C[C@@H]3[C@@H]4C[C@@H]([C@@H](OC)[C@H]42)C3)cc1,CO[C@@H]1[C@H]2C[C@@H]3CN(C(=O)Nc4ccnn4Cc4ccc(C(F)(F)F)cc4)[C@H]1[C@H]3C2,CO[C@@H]1[C@@H]2C[C@H]3[C@@H](C2)CN(C(=O)Nc2ccnn2Cc2ccc(C(F)(F)F)cc2)[C@H]31,False
16,O(Cc1c(OC)cccc1)NC(COC)=O,COCC(=O)NOCc1ccccc1OC,COCC(=O)NOCc1ccccc1OC,True
17,C1[C@H](NC(CCC)=O)CCCN1c1n(CC(C)(C(NC)=O)C)c([C@H](CC)c2ccccc2)nn1,CCCC(=O)N[C@@H]1CCCN(c2nnc([C@H](CC)c3ccccc3)n2CC(C)(C)C(=O)NC)C1,CCCC(=O)N[C@@H]1CCCN(c2nnc([C@H](CC)c3ccccc3)n2CC(C)(C)C(=O)NC)C1,True
18,n1cc2cc(C(=O)N[C@H](C)c3nc(-c4ccccc4)on3)cnc2n1Cc1ccccc1,C[C@@H](NC(=O)c1cnc2c(cnn2Cc2ccccc2)c1)c1noc(-c2ccccc2)n1,C[C@@H](NC(=O)c1cnc2c(cnn2Cc2ccccc2)c1)c1noc(-c2ccccc2)n1,True
19,[nH]1c(C(=O)N)ccc1C(=O)N1CCC(O)(CNCC2CC2)CC1,NC(=O)c1ccc(C(=O)N2CCC(O)(CNCC3CC3)CC2)[nH]1,NC(=O)c1ccc(C(=O)N2CCC(O)(CNCC3CC3)CC2)[nH]1,True
20,C1N(C(OC(C)(C)C)=O)C[C@H]2C[C@]2(C(N2CCO[C@@]3(CN(C(=O)CCCC#C)CCOC3)C2)=O)C1,C#CCCCC(=O)N1CCOC[C@]2(C1)CN(C(=O)[C@@]13CCN(C(=O)OC(C)(C)C)C[C@H]1C3)CCO2,C#CCCCC(=O)N1CCOC[C@]2(C1)CN(C(=O)[C@@]13CCO[C@@H]1CCN(C(=O)OC(C)(C)C)C1)CCO2,False
21,c1(C)nc2c(cnn2C)c(NC[C@@H]2[C@H](c3c[nH]nc3)OCC2)n1,Cc1nc(NC[C@H]2CCO[C@H]2c2cn[nH]c2)c2cnn(C)c2n1,Cc1nc(NC[C@H]2CCO[C@H]2c2cnn[nH]2)c2cnn(C)c2n1,False
22,c12nc(NC([C@@H]3CSCCC3)=O)n(C)c1ccc(F)c2,Cn1c(NC(=O)[C@H]2CCCSC2)nc2cc(F)ccc21,Cn1c(NC(=O)[C@H]2CCCSC2)nc2cc(F)ccc21,True
23,C(N1C[C@H]2CN(C(=O)[C@H]3COCCN3CC)C[C@H]2C1)(C1(C)CCC1)=O,CCN1CCOC[C@@H]1C(=O)N1C[C@@H]2CN(C(=O)C3(C)CCC3)C[C@@H]2C1,CCN1CCOC[C@@H]1C(=O)N1C[C@H]2CN(C(=O)C3(C)CCC3)C[C@@H]2C1,False
24,c1(NC([C@H](C)NC(c2ccccn2)=O)=O)nc2c(s1)C[C@H](NC(=O)c1ccc(C(=O)N)cc1)CC2,C[C@H](NC(=O)c1ccccn1)C(=O)Nc1nc2c(s1)C[C@H](NC(=O)c1ccc(C(N)=O)cc1)CC2,C[C@H](NC(=O)c1ccccn1)C(=O)Nc1nc2c(s1)C[C@H](NC(=O)c1ccc(C(N)=O)cc1)CC2,True
25,c1coc(CN[C@H](CCOC)C)c1,COCC[C@H](C)NCc1ccco1,COCC[C@H](C)NCc1ccco1,True
26,c1ccc2c(N[C@@H](CO)CCC=C)ccnc2c1,C=CCC[C@H](CO)Nc1ccnc2ccccc12,C=CCC[C@H](CO)Nc1ccnc2ccccc12,True
27,c1ccc(F)c(C(NC[C@H](NCC(=O)N[C@@H](C)CC)C2CC2)=O)n1,CC[C@H](C)NC(=O)CN[C@@H](CNC(=O)c1ncccc1F)C1CC1,CC[C@H](C)NC(=O)CN[C@@H](CNC(=O)c1ncccc1F)C1CC1,True
28,c1(OC)ccc(O)c(C(N[C@H](CC)c2[nH]ccn2)=O)c1,CC[C@@H](NC(=O)c1cc(OC)ccc1O)c1ncc[nH]1,CC[C@@H](NC(=O)c1cc(OC)ccc1O)c1ncc[nH]1,True
29,Fc1c(C(=O)N[C@@H]2CN(CCC3CC3)C[C@H]2C)c2c(cc1)ccnc2,C[C@@H]1CN(CCC2CC2)C[C@H]1NC(=O)c1c(F)ccc2ccncc12,C[C@@H]1CN(CCC2CC2)C[C@H]1NC(=O)c1c(F)ccc2ccncc12,True
30,C1CCCN1CCCC(=O)NC1(CNC(C#CC(C)C)=O)CCC1,CC(C)C#CC(=O)NCC1(NC(=O)CCCN2CCCC2)CCC1,CC(C)C#CC(=O)NC1(CNC(=O)CCCN2CCCC2)CCC1,False
31,C1CN(C([C@H](C2CC2)N2CCCC2)=O)CCC1CNC(=O)[C@@H]1C[C@@H]2O[C@H]1[C@@H]1[C@H]2C1,O=C(NCC1CCN(C(=O)[C@H](C2CC2)N2CCCC2)CC1)[C@@H]1C[C@@H]2O[C@H]1[C@H]1C[C@@H]21,O=C(NCC1CCN(C(=O)[C@@H](C2CC2)N2CCCC2)CC1)[C@@H]1C[C@@H]2O[C@H]1[C@H]1C[C@@H]21,False
32,CN1C[C@H]2CN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@H]2C1,CN1C[C@H]2CN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@H]2C1,CN1C[C@@H]2CN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@@H]2C1,False
33,c1(Nc2ccc3nc(CC)nn3c2)cc(OC2CC2)ccc1,CCc1nc2ccc(Nc3cccc(OC4CC4)c3)cn2n1,CCc1nc2ccc(Nc3cccc(OC4CC4)c3)cn2n1,True
34,N(C(=O)COC(C)C)CCCCCCN[C@@H]1C(=O)N(C)CCC1,CC(C)OCC(=O)NCCCCCCN[C@H]1CCCN(C)C1=O,CC(C)OCC(=O)NCCCCCCN[C@H]1CCCN(C)C1=O,True
35,C1N(CCCCCC)CCN(CCN(CCC)CCC)C1,CCCCCCN1CCN(CCN(CCC)CCC)CC1,CCCCCCN(CCC)CCN1CCN(CCC)CC1,False
36,c1cc(F)ccc1CCC(=O)NC(CF)CF,O=C(CCc1ccc(F)cc1)NC(CF)CF,O=C(CCc1ccc(F)cc1)NC(CF)CF,True
37,O1[C@@H](CCN2C[C@H]3N(C(=O)CCCCC)CC[C@H]3C2)CCC1,CCCCCC(=O)N1CC[C@H]2CN(CC[C@H]3CCCO3)C[C@H]21,CCCCCC(=O)N1CC[C@H]2CN(CC[C@H]3CCCO3)C[C@H]21,True
38,N([C@H]1[C@H](C)CN(C([C@H](OC)CCC)=O)C1)Cc1nnc(C)n1CCC,CCC[C@@H](OC)C(=O)N1C[C@@H](NCc2nnc(C)n2CCC)[C@H](C)C1,CCC[C@H](OC)C(=O)N1C[C@@H](NCc2nnc(C)n2CC)[C@H](OC)C1,False
39,C1CN(c2ncccc2-c2noc(-c3cc(C)cc4c[nH]nc43)n2)CCC1C(=O)N,Cc1cc(-c2nc(-c3cccnc3N3CCC(C(N)=O)CC3)no2)c2n[nH]cc2c1,Cc1cc(-c2nc(-c3cccnc3N3CCC(C(N)=O)CC3)no2)c2n[nH]cc2c1,True
40,O=C(c1cc(OC(F)F)c(OC(F)F)cc1)N1[C@@H]2C[C@@H](NC(=O)c3c[nH]c(=O)cn3)C[C@H]1CC2,O=C(N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)c1ccc(OC(F)F)c(OC(F)F)c1)c1c[nH]c(=O)cn1,O=C(N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)c1ccc(OC(F)F)c(OC(F)F)c1)c1c[nH]c(=O)cn1,True
41,C1[C@@H]2[C@H](CNC([C@H]3COc4ccccc4O3)=O)OC[C@@H]2CCN1C(=O)[C@@H]1[C@H](c2ccc(OC)cc2)C1,COc1ccc([C@@H]2C[C@@H]2C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)[C@H]4COc5ccccc5O4)[C@H]3C2)cc1,COc1ccc([C@@H]2C[C@@H]2C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)[C@H]4COc5ccccc5O4)[C@H]3C2)c2ccccc2C[C@@H]2CCO[C@@H]2Cn2C[C@@H]2COc3cc([nH]3)C[C@@H]3C[C@@H]3CC(=O)NC[C@@H]3C[C@@H]3C(=O)NC[C@@H]3C[C@@H]3C(=O)O)[C@H](C(=O),False
42,c1(C#N)ccc(N(C(CC[C@@H]2C[C@H](C(=O)O)CO2)=O)C)cn1,CN(C(=O)CC[C@@H]1C[C@H](C(=O)O)CO1)c1ccc(C#N)nc1,CN(C[C@@H]1C[C@H](C(=O)O)CO1)C(=O)CCc1ccc(C#N)nc1,False
43,CCN(CC)C(=O)[C@H](Cc1ccccc1)NC(c1cc(Cl)c(Cl)[nH]1)=O,CCN(CC)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)c(Cl)[nH]1,CCN(CC)C(=O)[C@@H](Cc1ccccc1)NC(=O)c1cc(Cl)c(Cl)[nH]1,False
44,N1(C(=O)NCCCCCC(=O)O)CCC(N2CCCC2)(C)CC1,CC1(N2CCCC2)CCN(C(=O)NCCCCCC(=O)O)CC1,CC1(N2CCC2)CCN(C(=O)NCCCCCC(=O)O)CC1,False
45,[C@H]1(NC(c2n[nH]c3c2CN(C(OC(C)(C)C)=O)C3)=O)C[C@@H]2N(C(=O)[C@@H](OCC#C)C)[C@@H](CC2)C1,C#CCO[C@@H](C)C(=O)N1[C@H]2CC[C@@H]1C[C@H](NC(=O)c1n[nH]c3c1CN(C(=O)OC(C)(C)C)C3)C2,C#CCO[C@@H](C)C(=O)N1[C@H]2CC[C@@H]1C[C@H](NC(=O)c1n[nH]c3c1CN(C(=O)OC(C)(C)C)C3)C(=O)O)[C@@H]1CCCN(C(=O)[C@@H]2CCc3nc(C(=O)OC(C#N)(C)C3)CN2C[C@@H]2CC[C@@H]2C(C(=O)O)(C(=O)O)OC)[C@@H]3CCCN(C(=O)N3[C@@H]3CS(=,False
46,N(C1=CCOCC1)c1cc(-c2ccncc2)ccc1,C1=C(Nc2cccc(-c3ccncc3)c2)CCOC1,C(=Nc1cccc(-c2ccncc2)c1)C1=CCOCC1,False
47,C1CCCC(O)(C#CC(=O)NC[C@]23CN(C(Cc4n[nH]cc4)=O)CC[C@H]2OCCC3)C1,O=C(C#CC1(O)CCCCC1)NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1cc[nH]n1)C2,O=C(C#CC1(O)CCCCC1)NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1cc[nH]n1)C2,True
48,c1ncccc1[C@@H]1[C@H](CNC(=O)c2c[nH]c(=O)cn2)CCN1C(c1cc(O)cc([N+]([O-])=O)c1)=O,O=C(NC[C@@H]1CCN(C(=O)c2cc(O)cc([N+](=O)[O-])c2)[C@@H]1c1cccnc1)c1c[nH]c(=O)cn1,O=C(NC[C@@H]1CCN(C(=O)c2cc(=O)cc([N+](=O)[O-])c2)[C@@H]1c1cccnc1)c1cc(O)cc(O)c1,False
49,c1c(C2(NC(=O)NCCCCCS(C)(=O)=O)CCCC2)cc(C)cc1,Cc1cccc(C2(NC(=O)NCCCCCS(C)(=O)=O)CCCC2)c1,Cc1cccc(C2(NC(=O)NCCCCCS(C)(=O)=O)CCCC2)c1,True
50,C([C@H](c1ccc(Cl)cc1)C(NC[C@@H]1OC[C@H]2[C@@H]1CN(C(=O)CN1C(=O)NC(=O)C1)CC2)=O)(C)C,CC(C)[C@@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CN3CC(=O)NC3=O)C[C@@H]21)c1ccc(Cl)cc1,CC(C)[C@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CN3CC(=O)NC3=O)C[C@@H]21)c1ccc(Cl)cc1,False
51,s1c(CNC(=S)NCC(C)(C)OC)ccc1,COC(C)(C)CNC(=S)NCc1cccs1,COC(C)(C)CNC(=S)NCc1cccs1,True
52,n1c(OC)cc(OC)nc1C(=O)NCC1(C2CC2)CCC1,COc1cc(OC)nc(C(=O)NCC2(C3CC3)CCC2)n1,COc1cc(OC)nc(C(=O)NCC2(C3CC3)CCC2)n1,True
53,C(C(=O)N[C@@H]1CN(C(=O)[C@@H]2[C@H](C(N)=O)C2)C[C@H]1C(F)(F)F)=C1CCC1,NC(=O)[C@@H]1C[C@@H]1C(=O)N1C[C@@H](NC(=O)C=C2CCC2)[C@H](C(F)(F)F)C1,NC(=O)[C@@H]1C[C@@H]1C(=O)N1C[C@@H](NC(=O)C=C2CCC2)[C@H](C(F)(F)F)C1,True
54,C1(=O)N(Nc2cccc(C(N3[C@H](C)CC[C@@H]3C)=O)c2)C(=O)[C@H]2CC=CC[C@@H]12,C[C@H]1CC[C@@H](C)N1C(=O)c1cccc(NN2C(=O)[C@H]3CC=CC[C@H]3C2=O)c1,C[C@H]1CC[C@@H](C)N1C(=O)c1cccc(NN2C(=O)[C@H]3CC=CC[C@H]3C2=O)c1,True
55,N(c1c(C)n(C)nc1C)C([C@H](OC(=O)Cc1sc(Cl)cc1)C)=O,Cc1nn(C)c(C)c1NC(=O)[C@@H](C)OC(=O)Cc1ccc(Cl)s1,Cc1nn(C)c(C)c1NC(=O)[C@@H](C)OC(=O)Cc1ccc(Cl)s1,True
56,CC(Cn1nc(C(F)F)c(C(N2CCC[C@](C)(C(=O)OC)C2)=O)c1)C,COC(=O)[C@@]1(C)CCCN(C(=O)c2cn(CC(C)C)nc2C(F)F)C1,COC(=O)[C@@]1(C)CCCN(C(=O)c2cn(CC(C)C)nc2C(F)F)C1,True
57,Cn1nccc1C(=O)NC[C@@H]1OC[C@H]2[C@@H]1CN(C(=O)CN1CCN(C(=O)OC(C)(C)C)CC1)CC2,Cn1nccc1C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CN3CCN(C(=O)OC(C)(C)C)CC3)C[C@@H]21,Cn1nccc1C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CN3CCN(C(=O)OC(C)(C)C)CC3)C[C@@H]21,True
58,C1C(C)(C)C(=O)Nc2cc(NC(=O)NCC3(COC)CCC3)ccc2O1,COCC1(CNC(=O)Nc2ccc3c(c2)NC(=O)C(C)(C)CO3)CCC1,COCC1(CNC(=O)Nc2ccc3c(c2)NC(=O)CO3)CCC1(C)C,False
59,n1cccc([C@@H]2[C@H](CNC(=O)CNC(=O)c3occc3)CCN2C(=O)CCc2cccc(OC)n2)c1,COc1cccc(CCC(=O)N2CC[C@@H](CNC(=O)CNC(=O)c3ccco3)[C@H]2c2cccnc2)n1,COc1cccc(CCC(=O)N2CC[C@@H](CNC(=O)CNC(=O)c3ccco3)[C@H]2c2cccnc2)n1,True
60,c12c(C)c(-c3n[nH]nn3)c(SCCOCC3CC3)nc1CCC2,Cc1c2c(nc(SCCOCC3CC3)c1-c1nn[nH]n1)CCC2,Cc1c(-c2nn[nH]n2)nc2c1CCC[C@@H]2SCCOCC1CC1,False
61,C1Cc2c(cccc2)N1S(=O)(=O)c1ccc(OCC(=O)Nc2cccc(-c3nc(C)cc(=O)[nH]3)c2)c(Cl)c1,Cc1cc(=O)[nH]c(-c2cccc(NC(=O)COc3ccc(S(=O)(=O)N4CCc5ccccc54)cc3Cl)c2)n1,Cc1cc(=O)[nH]c(=O)c(-c2ccc(NC(=O)COc3cccc4ccccc34)cc2)cc(=O)[nH]1)CC2,False
62,C(CN(CC)C(=O)C=C1CCC1)(C)=C,C=C(C)CN(CC)C(=O)C=C1CCC1,C=C(C)CN(CC)C(=O)C=C1CCC1,True
63,[C@@H]12CC[C@@H](N1C(c1ccc3cncn3c1)=O)C[C@H](NC(=O)CNC(=O)c1occc1)C2,O=C(CNC(=O)c1ccco1)N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)c1ccc2cncn2c1,O=C(CNC(=O)c1ccco1)N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)c1ccc2cncn2c1,True
64,C(NC(C[C@@H]1CCCCO1)=O)[C@H]1[C@H]2CN(C([C@@](OC)(C)c3c4c(ccc3)cccc4)=O)CC[C@H]2CO1,CO[C@@](C)(C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)C[C@@H]3CCCCO3)[C@H]2C1)c1cccc2ccccc12,CO[C@@](C)(C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)C[C@@H]3OCCc4ccccc43)[C@H]2C1)c1ccccc1,False
65,C(=O)(N1C[C@@H]2C3CCC([C@@H]2C1)CC3)C1CCN(C(N2CCCC2)=O)CC1,O=C(C1CCN(C(=O)N2CCCC2)CC1)N1C[C@H]2C3CCC(CC3)[C@H]2C1,O=C(C1CCN(C(=O)N2CCCC2)CC1)N1C[C@H]2C3CCC(CC3)[C@H]2C1,True
66,c1ccccc1[C@@H](CCn1c(N(CCN2C[C@H](C)O[C@H](C)C2)C)nnc1[C@@H]1CCO[C@H]1C(C)(C)C)C,C[C@H]1CN(CCN(C)c2nnc([C@@H]3CCO[C@H]3C(C)(C)C)n2CC[C@@H](C)c2ccccc2)C[C@@H](C)O1,C[C@H]1CN(CCN(C)c2nnc([C@@H]3CCO[C@H]3C(C)(C)C)n2CC[C@@H](C)N(C)C)C[C@@H](C)O1,False
67,FC(F)(c1ccc(C#CCNC(N[C@H]2CN(CCN3CCOCC3)CC2)=O)cc1)F,O=C(NCC#Cc1ccc(C(F)(F)F)cc1)N[C@@H]1CCN(CCN2CCOCC2)C1,O=C(NCC#Cc1ccc(C(F)(F)F)cc1)N[C@@H]1CCN(CCN2CCOCC2)C1,True
68,O(c1ccc([C@H](C)C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(c2cc4c(cc2)nccc4)=O)C3)cc1)C,COc1ccc([C@H](C)C(=O)N[C@@H]2[C@H]3COC[C@@H]2CN(C(=O)c2ccc4ncccc4c2)C3)cc1,COc1ccc([C@H](C)C(=O)N[C@@H]2[C@H]3COC[C@@H]2CN(C(=O)c2ccc4ncccc4c2)C3)cc1,True
69,c1(CCC(=O)N[C@H]2CC[C@](O)(C(F)(F)F)C2)c(C)nc2ncnn2c1C,Cc1nc2ncnn2c(C)c1CCC(=O)N[C@H]1CC[C@](O)(C(F)(F)F)C1,Cc1nc2ncnn2c(C)c1CCC(=O)N[C@H]1CC[C@@](O)(C(F)(F)F)C1,False
70,N#CC1(c2ccc(-c3cc(COC)ccc3)cc2)CC1,COCc1cccc(-c2ccc(C3(C#N)CC3)cc2)c1,COCc1cccc(-c2ccc(C3(C#N)CC3)cc2)c1,True
71,C1(F)(C(=O)NCCC2CCC(F)(F)CC2)CCCC1,O=C(NCCC1CCC(F)(F)CC1)C1(F)CCCC1,O=C(NCCC1CCC(F)(F)CC1)C1(F)CCCC1,True
72,c1(-c2occc2)oc(NC(CSc2ccc(C(C)=O)cc2OC)=O)nn1,COc1cc(C(C)=O)ccc1SCC(=O)Nc1nnc(-c2ccco2)o1,COc1cc(C(C)=O)ccc1SCC(=O)Nc1nnc(-c2ccco2)o1,True
73,C1OCCC(C[C@@H](CO)CNc2c(F)cc(S(N)(=O)=O)cc2Br)C1,NS(=O)(=O)c1cc(F)c(NC[C@H](CO)CC2CCOCC2)c(Br)c1,NS(=O)(=O)c1cc(F)c(NC[C@H](CO)CC2CCOCC2)c(F)c1,False
74,c1cc(-n2cncn2)ncc1Cn1c([C@H](NS(=O)(=O)C)C)nnc1N1CCC[C@H](CC)C1,CC[C@H]1CCCN(c2nnc([C@@H](C)NS(C)(=O)=O)n2Cc2ccc(-n3cncn3)nc2)C1,CC[C@H]1CCCN(c2nnc([C@@H](C)NS(C)(=O)=O)n2Cc2ccc(-n3cncn3)nc2)C1,True
75,[C@@H]1(c2ccccn2)[C@@H](C(=O)OC(C)(C)C)[C@@](C)(O)CC(=O)[C@H]1C(OC(C)(C)C)=O,CC(C)(C)OC(=O)[C@@H]1C(=O)C[C@](C)(O)[C@H](C(=O)OC(C)(C)C)[C@H]1c1ccccn1,CC(C)(C)OC(=O)[C@@H]1C(=O)C[C@](C)(O)[C@@H]1C(=O)OC(C)(C)C)[C@H]1c1ccccn1,False
76,N(C[C@H]1CN(Cc2ccccc2)C[C@H]1C)C(=O)N[C@H]1CN(Cc2ccccc2)C[C@H]1C,C[C@@H]1CN(Cc2ccccc2)C[C@@H]1CNC(=O)N[C@H]1CN(Cc2ccccc2)C[C@H]1C,C[C@@H]1CN(Cc2ccccc2)C[C@@H](C)[C@@H]1NC(=O)NC[C@@H]1CN(Cc2ccccc2)C1,False
77,c1ccc([C@@H]2C[C@H]2C(=O)N([C@H](C)CNC(c2cccnc2)=O)C)c(F)c1,C[C@H](CNC(=O)c1cccnc1)N(C)C(=O)[C@@H]1C[C@H]1c1ccccc1F,C[C@H](CNC(=O)c1cccnc1)N(C)C(=O)[C@@H]1C[C@H]1c1ccccc1F,True
78,c1ccccc1Oc1ccccc1NC(=O)CN1C[C@H](C)[C@H](C)C1,C[C@@H]1CN(CC(=O)Nc2ccccc2Oc2ccccc2)C[C@@H]1C,C[C@@H]1CN(CC(=O)Nc2ccccc2Oc2ccccc2)C[C@H]1C,False
79,O1CCOc2ccc(NC(=S)N(CC)[C@@H](CS(=O)(=O)CC)C)cc21,CCN(C(=S)Nc1ccc2c(c1)OCCO2)[C@H](C)CS(=O)(=O)CC,CCN(C(=S)Nc1ccc2c(c1)OCCO2)[C@H](C)CS(=S)(=O)=O,False
80,c1cc(Cn2c(N(C)CCn3nccc3)nnc2[C@@H]2CCC(=O)N2)ccc1COCC(F)(F)F,CN(CCn1cccn1)c1nnc([C@@H]2CCC(=O)N2)n1Cc1ccc(COCC(F)(F)F)cc1,CN(CCn1cccn1)c1nnc([C@@H]2CCC(=O)N2)n1Cc1ccc(COCC(F)(F)F)cc1,True
81,N(c1cc([C@H]2N(C([C@H](C)N3C[C@@H]4C[C@H]4C3)=O)CCCC2)[nH]n1)C([C@H]1CC=CC[C@H]1C(OC)=O)=O,COC(=O)[C@@H]1CC=CC[C@@H]1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H](C)N2C[C@@H]3C[C@H]3C2)[nH]n1,COC(=O)[C@@H]1C[C@@H]1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H](C)N2C[C@@H]3C[C@H]3C2)[nH]n1)N1C(=O)[C@@H](C)c2c(C(C)C2CCN([C@@H](C#N)C(=O)[C@@H]2CCC[C@H]2C(=O)N[C@@H]2CCCS(=O)(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCS(=O)(=O)[,False
82,n1cc([C@H]2N(C(c3cccc4c3CCCC4)=O)CC[C@H]2CNC([C@@H]2[C@H](c3ccccc3)C2)=O)ccc1,O=C(NC[C@@H]1CCN(C(=O)c2cccc3c2CCCC3)[C@@H]1c1cccnc1)[C@H]1C[C@H]1c1ccccc1,O=C(NC[C@@H]1CCN(C(=O)c2cccc3c2CCCC3)[C@@H]1c1cccnc1)[C@H]1C[C@H]1c1ccccc1,True
