model,seed,tok_len,is_perfect,answer,predict,answer_tok,predict_tok
GRU,3,8,1,CNCC(F)F,CNCC(F)F,"['C', 'N', 'C', 'C', '(', 'F', ')', 'F']","['C', 'N', 'C', 'C', '(', 'F', ')', 'F']"
GRU,3,8,0,CCCCOCCO,CCCCOCCO[C@@H]1CCOC1=O,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']","['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', 'O', 'C', '1', '=', 'O']"
GRU,1,10,1,O=C1COCCO1,O=C1COCCO1,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']"
GRU,1,10,0,O=C1CCCOC1,O=C1CCCOC([C@@H]2CCO2)N1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '(', '[', 'C', '@@', 'H', ']', '2', 'C', 'C', 'O', '2', ')', 'N', '1']"
GRU,1,10,0,CCCCCCCCCF,CCCCCCCC[C@H](F)C1CC1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@', 'H', ']', '(', 'F', ')', 'C', '1', 'C', 'C', '1']"
GRU,1,10,0,O=c1cccco1,O=c1ccccn1[C@@H]1CC1,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'n', '1', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', '1']"
GRU,1,10,0,N=C(N)NN=O,N=C(N)NN[C@@H]1CC1,"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', 'N', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', '1']"
GRU,1,10,0,O=CNCCNC=O,O=CNCCNC(=O)[C@@H](F)CF,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'F', ')', 'C', 'F']"
GRU,2,10,0,O=C1COCCO1,O=C1COCC(C)(C)[C@@H]1CO,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', '(', 'C', ')', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', 'C', 'O']"
GRU,2,10,0,O=C1CCCOC1,O=C1CCC(F)(c2ccc[nH]2)C(=O)O1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', '(', 'F', ')', '(', 'c', '2', 'c', 'c', 'c', '[', 'n', 'H', ']', '2', ')', 'C', '(', '=', 'O', ')', 'O', '1']"
GRU,2,10,0,CCCCCCCCCF,CCCCCCCCC[C@@H](F)C(F)(F)F,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@@', 'H', ']', '(', 'F', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F']"
GRU,2,10,0,O=c1cccco1,O=c1occnc1-c1ccccc1F,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'o', 'c', 'c', 'n', 'c', '1', '-', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'F']"
GRU,2,10,0,N=C(N)NN=O,N=C(N)NN=Cc1cc[nH]c1[N+](=O)[O-],"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'C', 'c', '1', 'c', 'c', '[', 'n', 'H', ']', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,2,10,0,O=CNCCNC=O,O=CNCCNC(=O)c1cc([N+](=O)[O-])c[nH]1,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'c', '1', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'c', '[', 'n', 'H', ']', '1']"
GRU,3,10,0,O=C1COCCO1,O=C1COCCO[C@H]1C1CCOCC1,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '[', 'C', '@', 'H', ']', '1', 'C', '1', 'C', 'C', 'O', 'C', 'C', '1']"
GRU,3,10,0,O=C1CCCOC1,O=C1CCCOCC1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', 'C', '1']"
GRU,3,10,1,CCCCCCCCCF,CCCCCCCCCF,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']"
GRU,3,10,1,O=c1cccco1,O=c1cccco1,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']"
GRU,3,10,0,N=C(N)NN=O,N=C(N)NN=C[C@H]1C[C@@H](N)[C@@H]1C(=O)O,"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'C', '[', 'C', '@', 'H', ']', '1', 'C', '[', 'C', '@@', 'H', ']', '(', 'N', ')', '[', 'C', '@@', 'H', ']', '1', 'C', '(', '=', 'O', ')', 'O']"
GRU,3,10,1,O=CNCCNC=O,O=CNCCNC=O,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']"
GRU,1,11,1,CC(C)CSCCCO,CC(C)CSCCCO,"['C', 'C', '(', 'C', ')', 'C', 'S', 'C', 'C', 'C', 'O']","['C', 'C', '(', 'C', ')', 'C', 'S', 'C', 'C', 'C', 'O']"
GRU,1,11,0,CSCc1nonc1C,CSCc1nonc1[C@@H](C)CC,"['C', 'S', 'C', 'c', '1', 'n', 'o', 'n', 'c', '1', 'C']","['C', 'S', 'C', 'c', '1', 'n', 'o', 'n', 'c', '1', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', 'C']"
GRU,1,11,1,CCc1cnccc1N,CCc1cnccc1N,"['C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']","['C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']"
GRU,1,11,1,COc1cccnc1N,COc1cccnc1N,"['C', 'O', 'c', '1', 'c', 'c', 'c', 'n', 'c', '1', 'N']","['C', 'O', 'c', '1', 'c', 'c', 'c', 'n', 'c', '1', 'N']"
GRU,1,11,0,N#CCn1cccc1,N#CCn1cccc1[C@@H]1CC1,"['N', '#', 'C', 'C', 'n', '1', 'c', 'c', 'c', 'c', '1']","['N', '#', 'C', 'C', 'n', '1', 'c', 'c', 'c', 'c', '1', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', '1']"
GRU,1,11,1,CCOCCNCCOCC,CCOCCNCCOCC,"['C', 'C', 'O', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'C']","['C', 'C', 'O', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'C']"
GRU,2,11,0,CC(C)CSCCCO,CC(C)CSCCC(=O)O,"['C', 'C', '(', 'C', ')', 'C', 'S', 'C', 'C', 'C', 'O']","['C', 'C', '(', 'C', ')', 'C', 'S', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']"
GRU,2,11,0,CSCc1nonc1C,CSCc1nonc1C(=O)N(C)C,"['C', 'S', 'C', 'c', '1', 'n', 'o', 'n', 'c', '1', 'C']","['C', 'S', 'C', 'c', '1', 'n', 'o', 'n', 'c', '1', 'C', '(', '=', 'O', ')', 'N', '(', 'C', ')', 'C']"
GRU,2,11,1,CCc1cnccc1N,CCc1cnccc1N,"['C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']","['C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']"
GRU,2,11,0,COc1cccnc1N,COc1cccnc1[C@@H](N)CC(F)(F)F,"['C', 'O', 'c', '1', 'c', 'c', 'c', 'n', 'c', '1', 'N']","['C', 'O', 'c', '1', 'c', 'c', 'c', 'n', 'c', '1', '[', 'C', '@@', 'H', ']', '(', 'N', ')', 'C', 'C', '(', 'F', ')', '(', 'F', ')', 'F']"
GRU,2,11,0,N#CCn1cccc1,N#CCn1cccc1[N+](=O)[O-],"['N', '#', 'C', 'C', 'n', '1', 'c', 'c', 'c', 'c', '1']","['N', '#', 'C', 'C', 'n', '1', 'c', 'c', 'c', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,2,11,0,CCOCCNCCOCC,CCOCCNCCOCC(F)(F)F,"['C', 'C', 'O', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'C']","['C', 'C', 'O', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'C', '(', 'F', ')', '(', 'F', ')', 'F']"
GRU,3,11,0,CC(C)CSCCCO,CC(C)CSCCCO[C@@H]1CCOC1=O,"['C', 'C', '(', 'C', ')', 'C', 'S', 'C', 'C', 'C', 'O']","['C', 'C', '(', 'C', ')', 'C', 'S', 'C', 'C', 'C', 'O', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', 'O', 'C', '1', '=', 'O']"
GRU,3,11,1,CSCc1nonc1C,CSCc1nonc1C,"['C', 'S', 'C', 'c', '1', 'n', 'o', 'n', 'c', '1', 'C']","['C', 'S', 'C', 'c', '1', 'n', 'o', 'n', 'c', '1', 'C']"
GRU,3,11,1,CCc1cnccc1N,CCc1cnccc1N,"['C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']","['C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']"
GRU,3,11,1,COc1cccnc1N,COc1cccnc1N,"['C', 'O', 'c', '1', 'c', 'c', 'c', 'n', 'c', '1', 'N']","['C', 'O', 'c', '1', 'c', 'c', 'c', 'n', 'c', '1', 'N']"
GRU,3,11,1,N#CCn1cccc1,N#CCn1cccc1,"['N', '#', 'C', 'C', 'n', '1', 'c', 'c', 'c', 'c', '1']","['N', '#', 'C', 'C', 'n', '1', 'c', 'c', 'c', 'c', '1']"
GRU,3,11,1,CCOCCNCCOCC,CCOCCNCCOCC,"['C', 'C', 'O', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'C']","['C', 'C', 'O', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'C']"
GRU,1,12,1,COc1cn[nH]c1,COc1cn[nH]c1,"['C', 'O', 'c', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1']","['C', 'O', 'c', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1']"
GRU,1,12,1,CC(C)(C)CC#N,CC(C)(C)CC#N,"['C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'C', '#', 'N']","['C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'C', '#', 'N']"
GRU,1,12,0,COC1=CC=CCC1,COC1=CC=C[CH]1,"['C', 'O', 'C', '1', '=', 'C', 'C', '=', 'C', 'C', 'C', '1']","['C', 'O', 'C', '1', '=', 'C', 'C', '=', 'C', '[', 'C', 'H', ']', '1']"
GRU,1,12,1,CCC(CC)SCCCF,CCC(CC)SCCCF,"['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', 'C', 'F']","['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', 'C', 'F']"
GRU,1,12,1,CCNCc1ccnn1C,CCNCc1ccnn1C,"['C', 'C', 'N', 'C', 'c', '1', 'c', 'c', 'n', 'n', '1', 'C']","['C', 'C', 'N', 'C', 'c', '1', 'c', 'c', 'n', 'n', '1', 'C']"
GRU,1,12,1,CCn1cnnc1CCN,CCn1cnnc1CCN,"['C', 'C', 'n', '1', 'c', 'n', 'n', 'c', '1', 'C', 'C', 'N']","['C', 'C', 'n', '1', 'c', 'n', 'n', 'c', '1', 'C', 'C', 'N']"
GRU,1,12,1,CCn1nccc1CCO,CCn1nccc1CCO,"['C', 'C', 'n', '1', 'n', 'c', 'c', 'c', '1', 'C', 'C', 'O']","['C', 'C', 'n', '1', 'n', 'c', 'c', 'c', '1', 'C', 'C', 'O']"
GRU,1,12,0,N#Cc1nccnc1I,N#Cc1nccnc1-c1ccc([N+](=O)[O-])n1,"['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'n', 'c', '1', 'I']","['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'n', 'c', '1', '-', 'c', '1', 'c', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'n', '1']"
GRU,1,12,1,CCCSCCC(=O)O,CCCSCCC(=O)O,"['C', 'C', 'C', 'S', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']","['C', 'C', 'C', 'S', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']"
GRU,1,12,0,CON(C)C(C)=O,CON(C)[C@@H](C)C(C)=O,"['C', 'O', 'N', '(', 'C', ')', 'C', '(', 'C', ')', '=', 'O']","['C', 'O', 'N', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', '(', 'C', ')', '=', 'O']"
GRU,2,12,0,COc1cn[nH]c1,COc1cn[nH]c1[N+](=O)[O-],"['C', 'O', 'c', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1']","['C', 'O', 'c', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,2,12,1,CC(C)(C)CC#N,CC(C)(C)CC#N,"['C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'C', '#', 'N']","['C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'C', '#', 'N']"
GRU,2,12,0,COC1=CC=CCC1,COC1=CCC=C[C@H]1C1(F)CC1,"['C', 'O', 'C', '1', '=', 'C', 'C', '=', 'C', 'C', 'C', '1']","['C', 'O', 'C', '1', '=', 'C', 'C', 'C', '=', 'C', '[', 'C', '@', 'H', ']', '1', 'C', '1', '(', 'F', ')', 'C', 'C', '1']"
GRU,2,12,1,CCC(CC)SCCCF,CCC(CC)SCCCF,"['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', 'C', 'F']","['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', 'C', 'F']"
GRU,2,12,0,CCNCc1ccnn1C,CCNCc1ccnn1[C@@H](C)C(F)(F)F,"['C', 'C', 'N', 'C', 'c', '1', 'c', 'c', 'n', 'n', '1', 'C']","['C', 'C', 'N', 'C', 'c', '1', 'c', 'c', 'n', 'n', '1', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F']"
GRU,2,12,0,CCn1cnnc1CCN,CCn1cnnc1CCN(CC)C(N)=O,"['C', 'C', 'n', '1', 'c', 'n', 'n', 'c', '1', 'C', 'C', 'N']","['C', 'C', 'n', '1', 'c', 'n', 'n', 'c', '1', 'C', 'C', 'N', '(', 'C', 'C', ')', 'C', '(', 'N', ')', '=', 'O']"
GRU,2,12,0,CCn1nccc1CCO,CCn1nccc1CCOc1ccc(F)cc1[N+](=O)[O-],"['C', 'C', 'n', '1', 'n', 'c', 'c', 'c', '1', 'C', 'C', 'O']","['C', 'C', 'n', '1', 'n', 'c', 'c', 'c', '1', 'C', 'C', 'O', 'c', '1', 'c', 'c', 'c', '(', 'F', ')', 'c', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,2,12,0,N#Cc1nccnc1I,N#Cc1nccnc1-c1ncc[nH]1,"['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'n', 'c', '1', 'I']","['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'n', 'c', '1', '-', 'c', '1', 'n', 'c', 'c', '[', 'n', 'H', ']', '1']"
GRU,2,12,0,CCCSCCC(=O)O,CCCSCCC(=O)c1cc([N+](=O)[O-])ccc1F,"['C', 'C', 'C', 'S', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']","['C', 'C', 'C', 'S', 'C', 'C', 'C', '(', '=', 'O', ')', 'c', '1', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'c', 'c', 'c', '1', 'F']"
GRU,2,12,0,CON(C)C(C)=O,COC(N)=N[C@@H](C)C(=O)c1cc[nH]c1[N+](=O)[O-],"['C', 'O', 'N', '(', 'C', ')', 'C', '(', 'C', ')', '=', 'O']","['C', 'O', 'C', '(', 'N', ')', '=', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', '(', '=', 'O', ')', 'c', '1', 'c', 'c', '[', 'n', 'H', ']', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,3,12,1,COc1cn[nH]c1,COc1cn[nH]c1,"['C', 'O', 'c', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1']","['C', 'O', 'c', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1']"
GRU,3,12,1,CC(C)(C)CC#N,CC(C)(C)CC#N,"['C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'C', '#', 'N']","['C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'C', '#', 'N']"
GRU,3,12,0,COC1=CC=CCC1,COC1=CC=C[C@H](C2=CCC=CC2)CC1,"['C', 'O', 'C', '1', '=', 'C', 'C', '=', 'C', 'C', 'C', '1']","['C', 'O', 'C', '1', '=', 'C', 'C', '=', 'C', '[', 'C', '@', 'H', ']', '(', 'C', '2', '=', 'C', 'C', 'C', '=', 'C', 'C', '2', ')', 'C', 'C', '1']"
GRU,3,12,1,CCC(CC)SCCCF,CCC(CC)SCCCF,"['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', 'C', 'F']","['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', 'C', 'F']"
GRU,3,12,0,CCNCc1ccnn1C,CCNCc1ccnn1[C@@H](C)C(=O)N(C)C,"['C', 'C', 'N', 'C', 'c', '1', 'c', 'c', 'n', 'n', '1', 'C']","['C', 'C', 'N', 'C', 'c', '1', 'c', 'c', 'n', 'n', '1', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', '(', '=', 'O', ')', 'N', '(', 'C', ')', 'C']"
GRU,3,12,1,CCn1cnnc1CCN,CCn1cnnc1CCN,"['C', 'C', 'n', '1', 'c', 'n', 'n', 'c', '1', 'C', 'C', 'N']","['C', 'C', 'n', '1', 'c', 'n', 'n', 'c', '1', 'C', 'C', 'N']"
GRU,3,12,0,CCn1nccc1CCO,CCn1nccc1CCO[C@H]1C[C@H]1C(=O)O,"['C', 'C', 'n', '1', 'n', 'c', 'c', 'c', '1', 'C', 'C', 'O']","['C', 'C', 'n', '1', 'n', 'c', 'c', 'c', '1', 'C', 'C', 'O', '[', 'C', '@', 'H', ']', '1', 'C', '[', 'C', '@', 'H', ']', '1', 'C', '(', '=', 'O', ')', 'O']"
GRU,3,12,1,N#Cc1nccnc1I,N#Cc1nccnc1I,"['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'n', 'c', '1', 'I']","['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'n', 'c', '1', 'I']"
GRU,3,12,1,CCCSCCC(=O)O,CCCSCCC(=O)O,"['C', 'C', 'C', 'S', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']","['C', 'C', 'C', 'S', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']"
GRU,3,12,1,CON(C)C(C)=O,CON(C)C(C)=O,"['C', 'O', 'N', '(', 'C', ')', 'C', '(', 'C', ')', '=', 'O']","['C', 'O', 'N', '(', 'C', ')', 'C', '(', 'C', ')', '=', 'O']"
GRU,1,13,0,C=COC(=O)CCCC,C=COC(=O)CCC[C@H](CC)O,"['C', '=', 'C', 'O', 'C', '(', '=', 'O', ')', 'C', 'C', 'C', 'C']","['C', '=', 'C', 'O', 'C', '(', '=', 'O', ')', 'C', 'C', 'C', '[', 'C', '@', 'H', ']', '(', 'C', 'C', ')', 'O']"
GRU,1,13,0,C=CC(C)(C)C=C,C=CC(C)(C)[C@@H](F)C=C,"['C', '=', 'C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', '=', 'C']","['C', '=', 'C', 'C', '(', 'C', ')', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '(', 'F', ')', 'C', '=', 'C']"
GRU,1,13,1,N#Cc1ncccc1CO,N#Cc1ncccc1CO,"['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'c', 'c', '1', 'C', 'O']","['N', '#', 'C', 'c', '1', 'n', 'c', 'c', 'c', 'c', '1', 'C', 'O']"
GRU,1,13,1,Cn1cn[nH]c1=S,Cn1cn[nH]c1=S,"['C', 'n', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1', '=', 'S']","['C', 'n', '1', 'c', 'n', '[', 'n', 'H', ']', 'c', '1', '=', 'S']"
GRU,1,13,0,Cc1cnc(C=O)s1,Cc1cnc(C=[N+](=O)[C@@H]2CC2)s1,"['C', 'c', '1', 'c', 'n', 'c', '(', 'C', '=', 'O', ')', 's', '1']","['C', 'c', '1', 'c', 'n', 'c', '(', 'C', '=', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '2', 'C', 'C', '2', ')', 's', '1']"
GRU,1,13,0,C=Cc1ccsc1C=O,C=Cc1ccsc1[C@@H](F)C=C,"['C', '=', 'C', 'c', '1', 'c', 'c', 's', 'c', '1', 'C', '=', 'O']","['C', '=', 'C', 'c', '1', 'c', 'c', 's', 'c', '1', '[', 'C', '@@', 'H', ']', '(', 'F', ')', 'C', '=', 'C']"
GRU,1,13,0,N#CCS(=O)CC#N,N#CCS(=O)(=O)CC#N,"['N', '#', 'C', 'C', 'S', '(', '=', 'O', ')', 'C', 'C', '#', 'N']","['N', '#', 'C', 'C', 'S', '(', '=', 'O', ')', '(', '=', 'O', ')', 'C', 'C', '#', 'N']"
GRU,1,13,1,OCCOCCSCCOCCO,OCCOCCSCCOCCO,"['O', 'C', 'C', 'O', 'C', 'C', 'S', 'C', 'C', 'O', 'C', 'C', 'O']","['O', 'C', 'C', 'O', 'C', 'C', 'S', 'C', 'C', 'O', 'C', 'C', 'O']"
GRU,1,13,1,COCCOCCC(N)=S,COCCOCCC(N)=S,"['C', 'O', 'C', 'C', 'O', 'C', 'C', 'C', '(', 'N', ')', '=', 'S']","['C', 'O', 'C', 'C', 'O', 'C', 'C', 'C', '(', 'N', ')', '=', 'S']"
GRU,1,13,1,CNC(=O)C1CCC1,CNC(=O)C1CCC1,"['C', 'N', 'C', '(', '=', 'O', ')', 'C', '1', 'C', 'C', 'C', '1']","['C', 'N', 'C', '(', '=', 'O', ')', 'C', '1', 'C', 'C', 'C', '1']"
GRU,1,13,1,CCc1nc(CN)co1,CCc1nc(CN)co1,"['C', 'C', 'c', '1', 'n', 'c', '(', 'C', 'N', ')', 'c', 'o', '1']","['C', 'C', 'c', '1', 'n', 'c', '(', 'C', 'N', ')', 'c', 'o', '1']"
GRU,1,13,1,COCOc1cnccc1I,COCOc1cnccc1I,"['C', 'O', 'C', 'O', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'I']","['C', 'O', 'C', 'O', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'I']"
