,canonical,random
37,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,C1[C@H]2N(C)CC[C@]34c5c(c(OC)ccc51)O[C@H]3C(=O)CC[C@H]42
38,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,c1cc(Cl)c(Cl)c(-c2c(N)nc(N)nn2)c1
39,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,c1ccc(C(C(N(C)C)=O)(c2ccccc2)CCN2CCC(O)(c3ccc(Cl)cc3)CC2)cc1
40,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,C(=O)(N1CCC(=C2c3c(cccn3)CCc3c2ccc(Cl)c3)CC1)OCC
41,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,C1N[C@@H]([C@@H](c2ccccc2)C(=O)OC)CCC1
42,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,c1(C(NCCN(CC)CC)=O)cc(Cl)c(N)cc1OC
43,CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@H](O)C=C[C@H]3[C@@H]1C5,c12c3c(c(O)cc1)O[C@@H]1[C@@]34CCN(C)[C@H]([C@@H]4C=C[C@H]1O)C2
44,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,c1cc(C2(c3ccccc3)C(=O)NC(=O)N2)ccc1
45,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,n1c(N)c2c(nc1N1CCN(C(c3ccco3)=O)CC1)cc(OC)c(OC)c2
46,C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@H]2C(=O)C[C@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO,C(=O)([C@@]1(O)[C@@]2(C)[C@@H]([C@H]3[C@@H](C(=O)C2)[C@]2(C)C=CC(=O)C=C2CC3)CC1)CO
47,C#CCN(C)[C@@H](C)Cc1ccccc1,N([C@@H](C)Cc1ccccc1)(CC#C)C
48,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,N1(CC)CCC[C@H]1CNC(=O)c1c(OC)ccc(S(=O)(N)=O)c1
49,COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1,CN(C[C@H](C1(O)CCCCC1)c1ccc(OC)cc1)C
50,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,CN(C(=O)Cc1c(-c2ccc(C)cc2)nc2ccc(C)cn21)C
51,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1,c1cc([N+](=O)[O-])cc([C@@H]2C(C(=O)OC)=C(C)NC(C)=C2C(=O)O[C@@H]2CN(Cc3ccccc3)CCC2)c1
52,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1[C@H]1CCCNCC1,C1CNCC[C@@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)C1
53,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,c1ccccc1C(c1ccccc1)N1CCN(CCOC(=O)C2=C(C)NC(C)=C(C(=O)OC)[C@@H]2c2cc([N+]([O-])=O)ccc2)CC1
54,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,c1c(OC)cc2c(c1)nccc2[C@H]([C@@H]1C[C@@H]2CCN1C[C@@H]2C=C)O
55,C[C@H]1[C@@H](OC(=O)CCC(=O)O)O[C@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,[C@]12(C)O[C@H]3[C@@]4([C@@H](CC[C@@H](C)[C@@H]4CC1)[C@@H](C)[C@@H](OC(=O)CCC(=O)O)O3)OO2
56,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,c1(O)ccc(-c2coc3c(ccc(O)c3)c2=O)cc1
57,CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,c1(Nc2ccnc3c2ccc(Cl)c3)ccc(O)c(CNCC)c1
58,Cc1cc(O)c2c(c1)C(=O)C(c1c(C)cc3c(c1O)C(=O)C=CC3=O)=CC2=O,Cc1cc2c(c(O)c1C1=CC(=O)c3c(cc(C)cc3O)C1=O)C(=O)C=CC2=O
59,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,O=c1c2c3c(c(O)c(O)c2)oc(=O)c2cc(O)c(O)c(c23)o1
60,COc1cc(/C=C/C(=O)O)ccc1O,c1cc(/C=C/C(=O)O)cc(OC)c1O
61,O=c1cc(-c2ccccc2)oc2ccccc12,c1ccccc1-c1cc(=O)c2c(cccc2)o1
62,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,o1c2c(c(O)cc(O)c2)c(=O)c(-c2ccc(O)cc2)c1
63,O=C1OCc2cc3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)c3c(O)c21,C1(=O)OCc2cc3cccc(O[C@H]4[C@@H](O)[C@H](O)[C@H](O)[C@@H](CO)O4)c3c(O)c21
64,COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl,ClC([C@H](P(=O)(OC)OC)O)(Cl)Cl
65,C=C[C@@H]1CN2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,c1c2c(nccc2[C@@H]([C@H]2C[C@H]3CCN2C[C@H]3C=C)O)ccc1OC
66,O[C@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3[C@H]3[C@H](c4ccccc42)C3(F)F)CC1,[C@@H]12[C@H](c3c(cccc3)C(N3CCN(C[C@@H](COc4c5c(nccc5)ccc4)O)CC3)c3ccccc31)C2(F)F
67,COc1ccc([C@@H](O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1OC,C(N1CCN(C(c2ccccc2)c2ccccc2)CC1)[C@@H](c1ccc(OC)c(OC)c1)O
68,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,C1CC(Nc2n(Cc3ccc(F)cc3)c3ccccc3n2)CCN1CCc1ccc(OC)cc1
69,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,c1cc(C(c2ccccc2)(n2ccnc2)c2ccccc2)c(Cl)cc1
70,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,c12ccccc1[nH]c(=O)n2C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
71,CC(C)(C)NC(=O)[C@H]1C[C@@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,C(NC(C)(C)C)(=O)[C@@H]1N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](NC(c2nc3ccccc3cc2)=O)CC(=O)N)C[C@H]2[C@@H](CCCC2)C1
72,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,c1ccc(C2(c3ccccc3)CCN(CCCOC(=O)C3=C(C)NC(C)=C(C(=O)OC)[C@@H]3c3cc([N+](=O)[O-])ccc3)CC2)cc1
73,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,[C@H](O)(COc1ccccc1C(=O)CCc1ccccc1)CNCCC
74,CCCCCN(CCCOC)C(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,C(N(C([C@@H](NC(c1cc(Cl)c(Cl)cc1)=O)CCC(=O)O)=O)CCCCC)CCOC
75,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,c1c(OCCCCc2nnnn2C2CCCCC2)cc2c(c1)NC(=O)CC2
76,CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1,C1CN([C@@H](CN(Cc2ccccc2)c2ccccc2)COCC(C)C)CC1
77,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,c1c2c([nH]c3c(C)c4ccncc4c(C)c32)ccc1
78,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,c1(O)ccc([C@@H](CC)[C@@H](CC)c2ccc(O)cc2)cc1
79,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,C1N(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CCN(CC(Nc2c(C)cccc2C)=O)C1
80,C[C@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(Cl)[C@@H](O)C[C@@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,C[C@]12C(=CC(=O)C=C1)CC[C@H]1[C@@]2(Cl)[C@@H](O)C[C@@]2(C)[C@@](OC(=O)c3ccco3)(C(=O)CCl)[C@@H](C)C[C@@H]21
81,COC(=O)[C@@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@H]1OC,O(C(=O)/C=C/c1cc(OC)c(OC)c(OC)c1)[C@H]1[C@@H](OC)[C@H](C(OC)=O)[C@@H]2[C@H](CN3[C@@H](c4[nH]c5c(ccc(OC)c5)c4CC3)C2)C1
82,CNCCC[C@](C#N)(c1ccc(OC)c(OC)c1)C(C)C,C(C)([C@](C#N)(CCCNC)c1ccc(OC)c(OC)c1)C
83,COc1ccc([C@@](C#N)(CCCN)C(C)C)cc1OC,C([C@@](C(C)C)(c1cc(OC)c(OC)cc1)C#N)CCN
84,COc1cc([C@](C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O,c1c(CCN(CCC[C@](c2cc(OC)c(O)cc2)(C#N)C(C)C)C)cc(OC)c(OC)c1
85,COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,COc1ccc([C@@H]2[C@@H](OC(=O)C)C(=O)N(CCN(C)C)c3c(cccc3)S2)cc1
86,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,OCCN(c1nc2c(N3CCCCC3)nc(N(CCO)CCO)nc2c(N2CCCCC2)n1)CCO
87,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N)[C@H](O)[C@@H](C)O1,c1(OC)c2c(ccc1)C(=O)c1c(c(O)c3c(c1O)C[C@@](C(=O)CO)(O)C[C@@H]3O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N)C1)C2=O
88,CN1CCC[C@H]1Cc1ccc2[nH]cc(CCS(=O)(=O)c3ccccc3)c2c1,c1(CCS(c2ccccc2)(=O)=O)c[nH]c2c1cc(C[C@@H]1CCCN1C)cc2
89,COc1cc([C@H]2c3cc4c(cc3[C@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@@H](O)[C@@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,C1[C@@H]2[C@@H](O[C@H]3[C@@H](O)[C@H](O)[C@H]4[C@@H](CO[C@@H](C)O4)O3)c3c(cc4c(c3)OCO4)[C@H](c3cc(OC)c(O)c(OC)c3)[C@H]2C(=O)O1
90,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,c1c2c(=O)c3cccc(C(=O)Nc4ccc(CCN5CCc6cc(OC)c(OC)cc6C5)cc4)c3[nH]c2c(OC)cc1
91,CCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,c1c(OCC)ccc(-c2nc3c(cc(-c4[nH]c5c(n4)ccc(N4CCN(C)CC4)c5)cc3)[nH]2)c1
92,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,COC(=O)Nc1[nH]c2c(ccc(C(=O)c3ccccc3)c2)n1
93,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,C1(c2c(F)cccc2)=NCc2n(c(C)nc2)-c2ccc(Cl)cc21
94,CC[C@@]1([C@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@@H](C)C[C@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@@]3(C[C@@H](O)[C@@H](C)[C@@H]([C@H](C)[C@@H](OC)[C@@H](C)C(=O)O)O3)O2)O1,OC([C@@H]([C@@H]([C@H]([C@H]1O[C@]2(C[C@@H](O)[C@H]1C)O[C@](C)([C@@H]1O[C@@]([C@H]3O[C@@H]([C@H]4O[C@@](O)(CO)[C@@H](C)C[C@H]4C)C[C@@H]3C)(CC)CC1)CC2)C)OC)C)=O
95,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc([N+](=O)[O-])c1,c1c([N+](=O)[O-])cccc1[C@H]1C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OC
96,CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1,c1(OC[C@H](CNC(C)C)O)ccc(NC(=O)C)cc1
97,COc1ccc(C[C@@H](N)C(=O)N[C@H]2[C@@H](O)[C@@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,c1n([C@@H]2[C@H](O)[C@H](NC(=O)[C@H](N)Cc3ccc(OC)cc3)[C@@H](CO)O2)c2ncnc(N(C)C)c2n1
98,C[C@@]12CC[C@@H]3C(CCC4=CC(=O)CC[C@]43C)[C@H]1CC[C@H]2O,C1=C2CCC3[C@@H](CC[C@]4(C)[C@@H]3CC[C@H]4O)[C@]2(C)CCC1=O
99,COC(=O)[C@@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,[C@@H]12N(C[C@@H]3CC[C@H](O)[C@H](C(=O)OC)[C@H]3C1)CCc1c2[nH]c2ccccc12
100,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,C(\c1nc(/C=C/C(=O)O)ccc1)(=C/CN1CCCC1)c1ccc(C)cc1
101,NC12CC3CC(CC(C3)C1)C2,C12(N)CC3CC(C1)CC(C3)C2
102,CN(C)CCC=C1c2ccccc2CCc2ccccc21,c1c2c(ccc1)C(=CCCN(C)C)c1ccccc1CC2
103,Cc1cc(=O)n(-c2ccccc2)n1C,c1ccc(-n2c(=O)cc(C)n2C)cc1
104,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,N(C[C@H](COc1ccc(CC(N)=O)cc1)O)C(C)C
105,O[C@](CCN1CCCCC1)(c1ccccc1)[C@H]1C[C@@H]2C=C[C@H]1C2,C1N(CC[C@](c2ccccc2)(O)[C@H]2C[C@@H]3C=C[C@H]2C3)CCCC1
106,CC(C)C[C@H]1C(=O)N2CCCC2[C@@]2(O)O[C@@](NC(=O)[C@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,[C@@H]12C(=C[C@H](C(=O)N[C@]3(C(C)C)C(=O)N4[C@@H](CC(C)C)C(=O)N5CCCC5[C@@]4(O)O3)CN1C)c1cccc3c1c(c(Br)[nH]3)C2
107,NC(=O)N1c2ccccc2C=Cc2ccccc21,c1ccc2c(c1)C=Cc1c(cccc1)N2C(=O)N
108,O=C(O)COCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(COCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1)O
109,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,c1ccc2c(c1)Sc1ccc(Cl)cc1N2CCCN(C)C
110,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,c12c(cc(Cl)cc1)/C(=C\CCN(C)C)c1ccccc1S2
111,CN1CCC[C@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,C1[C@@H](CCO[C@@](C)(c2ccc(Cl)cc2)c2ccccc2)N(C)CC1
112,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,c1(Cl)ccc2c(c1)N(CCCN(C)C)c1c(cccc1)CC2
113,Clc1cccc(Cl)c1NC1=NCCN1,c1(Cl)c(NC2=NCCN2)c(Cl)ccc1
114,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,c1ccc([C@](c2ccccc2)(OCCN(C)C)C)nc1
115,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,O=C1c2cc(F)ccc2-n2cnc(C(OCC)=O)c2CN1C
116,CN(C)CCCN1c2ccccc2CCc2ccccc21,C(N(C)C)CCN1c2c(cccc2)CCc2ccccc21
117,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,c1(C(n2c3c(cc(OC)cc3)c(CC(=O)O)c2C)=O)ccc(Cl)cc1
118,CN[C@@]1(c2ccccc2Cl)CCCCC1=O,c1cc([C@]2(NC)CCCCC2=O)c(Cl)cc1
119,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,O[C@H](CN[C@@H](CCc1ccccc1)C)c1cc(C(=O)N)c(O)cc1
120,COc1ccc2c(c1)N(C[C@@H](C)CN(C)C)c1ccccc1S2,c12c(cccc1)N(C[C@H](CN(C)C)C)c1c(ccc(OC)c1)S2
121,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,[C@H](O)([C@@H]([C@H](O)CO)O)[C@H](O)CO
122,CNCCCC12CCC(c3ccccc31)c1ccccc12,CNCCCC12CCC(c3ccccc31)c1ccccc12
123,CCCC(C)(COC(N)=O)COC(N)=O,C(COC(N)=O)(CCC)(C)COC(N)=O
124,c1ccc2c(c1)Sc1ccccc1N2C[C@H]1CN2CCC1CC2,c1cccc2c1Sc1c(cccc1)N2C[C@H]1CN2CCC1CC2
125,CC[C@@H](CO)NC(=O)[C@H]1C=C2c3cccc4c3c(cn4C)C[C@@H]2N(C)C1,OC[C@@H](NC(=O)[C@@H]1CN(C)[C@@H]2C(=C1)c1cccc3n(C)cc(c31)C2)CC
126,COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,CC(NC[C@@H](COc1ccc(CCOC)cc1)O)C
127,Cc1cccc(C)c1OC[C@@H](C)N,Cc1cccc(C)c1OC[C@H](N)C
128,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@H](C2)N(CC2CCC2)CC[C@@]314,C1C[C@]2(O)[C@]34c5c(ccc(O)c5O[C@H]3[C@H]1O)C[C@@H]2N(CC1CCC1)CC4
129,C=CCN1CC[C@@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@@H]1C5,[C@]12(O)[C@]34c5c(ccc(O)c5O[C@H]3C(=O)CC1)C[C@@H]2N(CC=C)CC4
130,O=C1CC[C@@]2(O)[C@@H]3Cc4ccc(O)c5c4[C@]2(CCN3CC2CC2)[C@H]1O5,C1CC1CN1CC[C@]23c4c5c(O)ccc4C[C@H]1[C@]2(O)CCC(=O)[C@@H]3O5
